 * Epoch 269: time=2.49s, test_loss=0.303, train_loss=0.303
 * Epoch 270: time=2.58s, test_loss=0.305, train_loss=0.305
 * Epoch 271: time=2.50s, test_loss=0.299, train_loss=0.299
 * Epoch 272: time=2.47s, test_loss=0.304, train_loss=0.304
 * Epoch 273: time=2.59s, test_loss=0.321, train_loss=0.321
 * Epoch 274: time=2.52s, test_loss=0.312, train_loss=0.312
 * Epoch 275: time=2.58s, test_loss=0.298, train_loss=0.298
 * Epoch 276: time=2.49s, test_loss=0.310, train_loss=0.310
 * Epoch 277: time=2.53s, test_loss=0.302, train_loss=0.302
 * Epoch 278: time=2.43s, test_loss=0.308, train_loss=0.308
 * Epoch 279: time=2.49s, test_loss=0.296, train_loss=0.296
 * Epoch 280: time=2.46s, test_loss=0.319, train_loss=0.319
 * Epoch 281: time=2.51s, test_loss=0.316, train_loss=0.316
 * Epoch 282: time=2.46s, test_loss=0.302, train_loss=0.302
 * Epoch 283: time=2.49s, test_loss=0.305, train_loss=0.305
 * Epoch 284: time=2.35s, test_loss=0.301, train_loss=0.301
 * Epoch 285: time=2.40s, test_loss=0.299, train_loss=0.299
 * Epoch 286: time=2.39s, test_loss=0.314, train_loss=0.314
 * Epoch 287: time=2.44s, test_loss=0.304, train_loss=0.304
 * Epoch 288: time=2.32s, test_loss=0.304, train_loss=0.304
 * Epoch 289: time=2.50s, test_loss=0.319, train_loss=0.319
 * Epoch 290: time=2.43s, test_loss=0.316, train_loss=0.316
 * Epoch 291: time=2.44s, test_loss=0.295, train_loss=0.295
 * Epoch 292: time=2.42s, test_loss=0.316, train_loss=0.316
 * Epoch 293: time=2.43s, test_loss=0.298, train_loss=0.298
 * Epoch 294: time=2.46s, test_loss=0.312, train_loss=0.312
 * Epoch 295: time=2.50s, test_loss=0.312, train_loss=0.312
 * Epoch 296: time=2.54s, test_loss=0.305, train_loss=0.305
 * Epoch 297: time=2.48s, test_loss=0.306, train_loss=0.306
 * Epoch 298: time=2.44s, test_loss=0.294, train_loss=0.294
 * Epoch 299: time=2.43s, test_loss=0.325, train_loss=0.325
 * Epoch 300: time=2.44s, test_loss=0.318, train_loss=0.318
 * Epoch 301: time=2.46s, test_loss=0.317, train_loss=0.317
 * Epoch 302: time=2.40s, test_loss=0.317, train_loss=0.317
 * Epoch 303: time=2.44s, test_loss=0.320, train_loss=0.320
 * Epoch 304: time=2.47s, test_loss=0.313, train_loss=0.313
 * Epoch 305: time=2.44s, test_loss=0.340, train_loss=0.340
 * Epoch 306: time=2.43s, test_loss=0.303, train_loss=0.303
 * Epoch 307: time=2.45s, test_loss=0.323, train_loss=0.323
 * Epoch 308: time=2.41s, test_loss=0.350, train_loss=0.350
 * Epoch 309: time=2.42s, test_loss=0.302, train_loss=0.302
 * Epoch 310: time=2.48s, test_loss=0.328, train_loss=0.328
 * Epoch 311: time=2.37s, test_loss=0.349, train_loss=0.349
 * Epoch 312: time=2.49s, test_loss=0.294, train_loss=0.294
 * Epoch 313: time=2.49s, test_loss=0.319, train_loss=0.319
 * Epoch 314: time=2.44s, test_loss=0.317, train_loss=0.317
 * Epoch 315: time=2.42s, test_loss=0.315, train_loss=0.315
 * Epoch 316: time=2.44s, test_loss=0.301, train_loss=0.301
 * Epoch 317: time=2.39s, test_loss=0.302, train_loss=0.302
 * Epoch 318: time=2.47s, test_loss=0.305, train_loss=0.305
 * Epoch 319: time=2.48s, test_loss=0.314, train_loss=0.314
